,Name,Price,Rating,Image
77,"JioBook 11 (2023) NB1112MM(BLU) (Mediatek 8788 Octa-core 2 GHz/ARM Mali G72 MP3 @800 MHz/29.5cms 60 Hz/Thin and Light Laptop/ 4 GB LPDDR4/ 64 GB eMMC/JioOS 4G LTE, Dual Band Wi-Fi/Blue/ 990 GMS)","14,499",2.9 out of 5 stars,https://m.media-amazon.com/images/I/51cNQIk3q9L._AC_UY218_.jpg
78,"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black","20,000",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71V2Q8g87XL._AC_UY218_.jpg
79,"Dell 14 Laptop, 12th Gen Intel Core i5-1235U Processor, 16GB, 512GB, 14.0"" (35.56cm) FHD Display with Comfort View, Windows 11 + MSO'21, Spill-Resistant Keyboard, 15 Month Mcafee, Black, 1.48kg","54,990",3.5 out of 5 stars,https://m.media-amazon.com/images/I/51JVwUZNDwL._AC_UY218_.jpg
80,"ASUS Vivobook 15, IntelCore i7-12650H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16 GB RAM/512GB SSD/Win11/Office 2021/Backlit/42WHr /Silver/1.75), X1502ZA-EJ742WS","60,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/813-FmU7N1L._AC_UY218_.jpg
81,"HP OMEN Gaming Laptop,AMD Ryzen 7 6800H,8GB RTX 3070 Ti GPU,16.1-inch (40.9 cm),QHD,IPS,300 nits,165Hz,Windows 11 Home,3 ms Response time,16GB DDR5,1TB SSD,RGB Backlit KB(MSO,Silver,2.37 kg),n0123AX","1,09,990",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71PlJMFYA4L._AC_UY218_.jpg
82,"FUTOPIA All-New ULTIMUS Pro, Celeron N4020c Thin & Light (4GB RAM/128GB eMMC, 14.1-inch (35.8 cm) HD Display/Win 11 Home/Matt Black/1.20 Kg) NU14U3INC43BN-MB","13,990",2.6 out of 5 stars,https://m.media-amazon.com/images/I/61xw4Gt7fqL._AC_UY218_.jpg
83,"HP Pavilion 14, 11th Gen Intel Core i5-1155G7, 14-inch (35.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2019, Silver, 1.41 kg), dv1001TU","63,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/714i0XPmw2L._AC_UY218_.jpg
84,"ASUS Vivobook 15, IntelCore i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Backlit/42WHr/1.70/Blue), X1504ZA-NJ326WS","36,990",4.5 out of 5 stars,https://m.media-amazon.com/images/I/71qTbS09tjL._AC_UY218_.jpg
85,"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU","38,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Blj59DzzL._AC_UY218_.jpg
86,"Samsung Galaxy Book3 Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop  (15.6 Inch, Graphite, 1.58 Kg, with MS Office)","89,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71S4rL6SedL._AC_UY218_.jpg
