,Name,Price,Rating,Image
81, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,"₹20,250.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
82, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹21,009.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/2b/ae/cnbicean1wp0021lr.jpg.2513fe2bae.999x150x150.jpg
83, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹94,997.99",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
84, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,"₹11,250.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
85, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹12,600.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
86, hp Intel Core i7 15.6 Inch Laptop ( Windows …,"₹12,998.16",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6505504/9f/7c/250g9image.jpg.9abbb59f7c.999x150x150.jpg
87, hp Intel Core i5 14 Inch Laptop ( Windows 10 …,"₹15,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/a7/0f/440g9nb.jpg.5d1452a70f.999x150x150.jpg
88, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
89, hp AMD Athlon 14 Inch Laptop ( DOS ),"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
90, acer Intel Core i5 14 Inch Laptop ( Windows …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
91, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹18,463.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/9f/b8/cnbicean10021lr.jpg.d66a039fb8.999x150x150.jpg
92, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹19,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/06/88/440g81.jpg.630f540688.999x150x150.jpg
93, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,"₹20,250.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
94, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹21,009.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/2b/ae/cnbicean1wp0021lr.jpg.2513fe2bae.999x150x150.jpg
95, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹94,997.99",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
96, acer Intel Core i3 14 Inch Laptop ( Linux ),"₹35,789.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x150x150.jpg
97, acer Intel Core i3 14 Inch Laptop ( Windows …,"₹35,800.00",,https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image4.png.0b7c3805b1.999x150x150.jpg
98, acer Intel Core i3 14 Inch Laptop ( Linux ),"₹35,994.00",3.0 - 3.49,https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x150x150.jpg
99, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,"₹36,000.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
